condition_id,campaign,n,successes,fer,frame_success_rate,wilson_lo,wilson_hi,mean_ber,sync_fail,crc_fail,payload_goodput_bps,raw_symbol_rate_bps,mean_airtime_s,mean_decode_cpu_ms,modulation,fec,repeats,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,payload,provenance
mod_bfsk_T0.070,modulation,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,429.05186660937034,bfsk,none,1,0.07,3000.0,8000.0,5000.0,0.006,0.55,HELLO,SIMULATED_RX
mod_bfsk_T0.120,modulation,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,3.2051282051282053,8.333333333333334,12.479999999999999,702.0032807389119,bfsk,none,1,0.12,3000.0,8000.0,5000.0,0.006,0.55,HELLO,SIMULATED_RX
mod_cpfsk_T0.040,modulation,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,253.19423649731712,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.006,0.55,HELLO,SIMULATED_RX
mod_cpfsk_T0.070,modulation,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,436.4966826494007,cpfsk,none,1,0.07,3000.0,8000.0,5000.0,0.006,0.55,HELLO,SIMULATED_RX
mod_cpfsk_T0.120,modulation,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,3.2051282051282053,8.333333333333334,12.479999999999999,702.2891269977359,cpfsk,none,1,0.12,3000.0,8000.0,5000.0,0.006,0.55,HELLO,SIMULATED_RX
redundancy_hamming74_r1_s0.00,redundancy,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,4.848484848484849,20.0,8.25,491.8357143954684,cpfsk,hamming74,1,0.05,3000.0,8000.0,5000.0,0.012,0.45,HELLO,SIMULATED_RX
redundancy_hamming74_r2_s0.25,redundancy,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,2.388059701492537,20.0,16.75,980.0093252561055,cpfsk,hamming74,2,0.05,3000.0,8000.0,5000.0,0.012,0.45,HELLO,SIMULATED_RX
redundancy_none_r1_s0.00,redundancy,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,7.692307692307692,20.0,5.2,309.80776749008027,cpfsk,none,1,0.05,3000.0,8000.0,5000.0,0.012,0.45,HELLO,SIMULATED_RX
redundancy_none_r2_s0.25,redundancy,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,3.7558685446009386,20.0,10.65,352.8728574165143,cpfsk,none,2,0.05,3000.0,8000.0,5000.0,0.012,0.45,HELLO,SIMULATED_RX
spacing_2000_10000_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,426.9039035910585,cpfsk,none,1,0.07,2000.0,10000.0,8000.0,0.005,0.55,HELLO,SIMULATED_RX
spacing_2500_9000_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,423.8434402601949,cpfsk,none,1,0.07,2500.0,9000.0,6500.0,0.005,0.55,HELLO,SIMULATED_RX
spacing_3000_6000_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,423.9458525068282,cpfsk,none,1,0.07,3000.0,6000.0,3000.0,0.005,0.55,HELLO,SIMULATED_RX
spacing_3000_8000_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,427.36329249843646,cpfsk,none,1,0.07,3000.0,8000.0,5000.0,0.005,0.55,HELLO,SIMULATED_RX
spacing_3500_5500_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,424.1229529143311,cpfsk,none,1,0.07,3500.0,5500.0,2000.0,0.005,0.55,HELLO,SIMULATED_RX
spacing_4000_5000_T0.07,spacing,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,434.18393868099275,cpfsk,none,1,0.07,4000.0,5000.0,1000.0,0.005,0.55,HELLO,SIMULATED_RX
tsym_T0.030_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,12.820512820512821,33.333333333333336,3.1199999999999997,197.54508677093932,cpfsk,none,1,0.03,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.030_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,12.820512820512821,33.333333333333336,3.1199999999999997,192.96059141440006,cpfsk,none,1,0.03,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.040_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,253.95677049527876,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.040_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,252.1124065873058,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.050_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,7.692307692307692,20.0,5.2,311.7831052222755,cpfsk,none,1,0.05,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.050_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,7.692307692307692,20.0,5.2,308.5159592543884,cpfsk,none,1,0.05,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.070_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,417.86170916748233,cpfsk,none,1,0.07,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.070_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,5.494505494505494,14.285714285714285,7.280000000000001,420.58480651273084,cpfsk,none,1,0.07,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.080_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,4.8076923076923075,12.5,8.32,486.8216730246786,cpfsk,none,1,0.08,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.080_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,4.8076923076923075,12.5,8.32,484.0875601609393,cpfsk,none,1,0.08,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.120_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,3.2051282051282053,8.333333333333334,12.479999999999999,703.2638102440009,cpfsk,none,1,0.12,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.120_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,3.2051282051282053,8.333333333333334,12.479999999999999,704.1223425088295,cpfsk,none,1,0.12,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
tsym_T0.200_N0.002_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,1.923076923076923,5.0,20.8,1169.1003950836603,cpfsk,none,1,0.2,3000.0,8000.0,5000.0,0.002,0.6,HELLO,SIMULATED_RX
tsym_T0.200_N0.008_cpfsk_none_r1,tsym,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,1.923076923076923,5.0,20.8,1172.4378141613367,cpfsk,none,1,0.2,3000.0,8000.0,5000.0,0.008,0.6,HELLO,SIMULATED_RX
