campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.200_N0.008_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,74.13484167172595,20.8,104,5,0,0,1174.1454299772158,SIMULATED_RX
tsym,tsym_T0.200_N0.008_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.48018754641826,20.8,104,5,0,0,1172.0368730602786,SIMULATED_RX
tsym,tsym_T0.200_N0.008_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,63.17373048098901,20.8,104,5,0,0,1175.8878090186045,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.11460785547146,12.48,104,5,0,0,705.4441289510578,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.25815461737534,12.48,104,5,0,0,705.2398020168766,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.87198175636557,12.48,104,5,0,0,704.0289249271154,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.16030277939042,12.48,104,5,0,0,703.5677380627021,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.97929402714398,12.48,104,5,0,0,702.9293810483068,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,77.63947307535658,12.48,104,5,0,0,702.9810320818797,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.51009168962726,12.48,104,5,0,0,701.8855880014598,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.0856656070061,12.48,104,5,0,0,702.7980230050161,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.6235521850003,12.48,104,5,0,0,702.7104529552162,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.48422223645478,12.48,104,5,0,0,702.5790889747441,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.76589158755044,12.48,104,5,0,0,702.232263982296,SIMULATED_RX
tsym,tsym_T0.120_N0.002_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.21371906824018,12.48,104,5,0,0,702.7692989213392,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,63.66399907568859,12.48,104,5,0,0,702.5389099726453,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,62.386110804741236,12.48,104,5,0,0,705.2420200780034,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,65.27075999917022,12.48,104,5,0,0,704.7144980169833,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.056800099815725,12.48,104,5,0,0,705.3093849681318,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.10335843884782,12.48,104,5,0,0,705.1877829944715,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.75373114615423,12.48,104,5,0,0,706.2901180470362,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,68.45238405284195,12.48,104,5,0,0,705.3818720160052,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,66.12198142598959,12.48,104,5,0,0,702.5986210210249,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.36577591008319,12.48,104,5,0,0,702.1933359792456,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.20664598997507,12.48,104,5,0,0,702.9985670233145,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,63.838903271264506,12.48,104,5,0,0,703.783467062749,SIMULATED_RX
tsym,tsym_T0.120_N0.008_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.12,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,62.16502522761546,12.48,104,5,0,0,703.2295329263434,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.99305213061186,8.32,104,5,0,0,472.822753014043,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.6813142235286,8.32,104,5,0,0,472.4214660236612,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.32510428713397,8.32,104,5,0,0,473.4949270496145,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,71.95592278122766,8.32,104,5,0,0,516.6003319900483,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.27336691743888,8.32,104,5,0,0,515.5467820586637,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.17842488753679,8.32,104,5,0,0,472.05548000056297,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.97152064313528,8.32,104,5,0,0,471.5708050644025,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,71.70722769685369,8.32,104,5,0,0,516.0214430652559,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.74061813751588,8.32,104,5,0,0,471.54202102683485,SIMULATED_RX
tsym,tsym_T0.080_N0.002_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.08,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.63643453520389,8.32,104,5,0,0,472.10710402578115,SIMULATED_RX
