frequency,energy,noise_floor,estimated_detector_snr_db,adjacent_energy,harmonic_energy,clipping
15000.0,0.0009830505533877053,0.003778374853737912,-5.847291902072655,0.00018518150917348777,7.628323899722123e-05,False
15250.0,0.00022761224280825883,0.003778374853737912,-12.201094240284608,9.771777296190595e-05,0.0001225668813056302,False
15500.0,0.0009130398553074618,0.003778374853737912,-6.168153067792631,0.00013379322413436718,0.00011898418345790418,False
15750.0,0.0014731750046349064,0.003778374853737912,-4.090507006436472,0.00011491665219140845,0.0001662988313464453,False
16000.0,0.0008539080338746276,0.003778374853737912,-6.458939426382981,0.00022922520404363418,0.00030504938639852597,False
16250.0,0.0007113275666993055,0.003778374853737912,-7.252354025952805,0.0002445077272374562,4.7635252951566676e-05,False
16500.0,0.00037327919625000877,0.003778374853737912,-10.05271255891422,0.00037278626649323666,9.072800863130226e-05,False
16750.0,0.0005516119317220075,0.003778374853737912,-8.356713905378644,8.897625896448145e-05,0.00015281033145009282,False
17000.0,8.155744864447058e-05,0.003778374853737912,-16.65841410896145,0.00011569070512888425,3.247700174256393e-05,False
17250.0,0.0002009979578482357,0.003778374853737912,-12.741133972292154,0.00047138555017162543,1.6707413815516062e-05,False
17500.0,0.0006432473588503599,0.003778374853737912,-7.68927030524031,0.0012688183763204224,7.402447145518631e-06,False
17750.0,6.309968526540131e-05,0.003778374853737912,-17.772778491788447,0.0002800523608244665,3.999033652074546e-05,False
18000.0,0.0018933567926746864,0.003778374853737912,-3.0007258013056903,0.00012480502723825567,3.799799530826431e-05,False
18250.0,0.00032181690733811864,0.003778374853737912,-10.69696185263184,0.00038473460240661593,5.052363831057477e-06,False
18500.0,0.0001252207512582992,0.003778374853737912,-14.796287372189683,0.002846821496867412,3.46245439296379e-05,False
18750.0,0.0001645599039327263,0.003778374853737912,-13.609810170601397,0.00014475881431727373,0.0008313300916382715,False
19000.0,3.7372962821307505e-05,0.003778374853737912,-20.047475133777205,0.0005630296217613234,0.0004020668559441276,False
19250.0,2.600362087418529e-05,0.003778374853737912,-21.622712166965567,0.00011976792669771457,0.0003741749191048527,False
19500.0,0.0001875218646543,0.003778374853737912,-13.042531293755406,0.0005670640688357474,0.00013936682572168735,False
19750.0,0.00030437086207797106,0.003778374853737912,-10.939019678480125,0.0002503562197577364,0.00022096609584076887,False
20000.0,0.0002204083674005057,0.003778374853737912,-12.340769645248287,7.212211840221239e-05,0.00027676165312184864,False
20250.0,0.00038528596428570117,0.003778374853737912,-9.915218539743439,0.00041310789714071405,9.300429855434514e-06,False
20500.0,0.00017471469805224542,0.003778374853737912,-13.349756002269121,0.000249502721296623,0.00011644282483913582,False
20750.0,5.045957310022888e-07,0.003778374853737912,-38.74361470248769,0.0001890556459374634,4.502973820802447e-05,False
21000.0,0.0,0.003778374853737912,-175.77305042213146,0.0,0.0,False
