frequency,energy,noise_floor,estimated_detector_snr_db,adjacent_energy,harmonic_energy,clipping
2000.0,0.11585453434384596,0.040243779006842624,4.5921428051872475,0.012829103933056658,0.010341166714421625,False
2250.0,0.019184948576440375,0.040243779006842624,-3.2173811601844324,0.002722590448996141,0.0007067404160802774,False
2500.0,0.008067549533863044,0.040243779006842624,-6.979571148620726,0.003194232931256845,0.0005411055570531602,False
2750.0,0.02156760326771745,0.040243779006842624,-2.708968693085376,0.0076675492325062634,0.00021783851157645756,False
3000.0,0.06480184920780607,0.040243779006842624,2.0688864375743985,0.0009662838964628842,0.009491878742115486,False
3250.0,0.06303121319577998,0.040243779006842624,1.9485691084000472,0.008096443878593795,4.489509372858629e-05,False
3500.0,0.017207285136983566,0.040243779006842624,-3.689864001320511,0.01181243539668712,0.000913263598549869,False
3750.0,0.19020338705088002,0.040243779006842624,6.745194909121728,0.002355319497759804,0.000855069702865346,False
4000.0,0.00628613244387119,0.040243779006842624,-8.063152284449123,0.0064439840329026865,0.0004634568330319291,False
4250.0,0.01419261954921261,0.040243779006842624,-4.526361943448605,0.00234622616869227,0.0006911753128582191,False
4500.0,0.005967072434300568,0.040243779006842624,-8.289374456889355,0.0010006138092736425,0.0003024038609909185,False
4750.0,0.005443999359109417,0.040243779006842624,-8.6878069006203,0.001037168970646804,0.00017189871871314138,False
5000.0,0.023758217283531405,0.040243779006842624,-2.2888490556172476,0.0010392489618670643,0.000951657931614467,False
5250.0,0.004764898784221769,0.040243779006842624,-9.266450756590224,0.0004955379431442236,0.00014473677246528647,False
5500.0,0.0052447958433796335,0.040243779006842624,-8.849701677640947,0.005381080494276609,0.00043521193348386287,False
5750.0,0.0004125195245107511,0.040243779006842624,-19.89254246976495,0.00102146902474795,6.286452253240871e-05,False
6000.0,0.011929807841389074,0.040243779006842624,-5.280653071100476,0.00045158361187433313,0.0005391082761723058,False
6250.0,0.0005409722379744406,0.040243779006842624,-18.715237772430974,0.003131709333226461,2.630490605427127e-05,False
6500.0,0.0254243835686497,0.040243779006842624,-1.9944832350693995,0.0094084187668632,0.00010957737794893929,False
6750.0,0.003029070358641273,0.040243779006842624,-11.233893943108546,0.002213576446142482,0.0004883342538284901,False
7000.0,0.001023439594020925,0.040243779006842624,-15.94636540864083,0.00010739426945969677,0.000732211262500981,False
7250.0,0.00043920373493643836,0.040243779006842624,-19.620327308198785,0.0005321667271914467,0.0005382623774830539,False
7500.0,0.004851076566273522,0.040243779006842624,-9.188606261613193,0.002785186861124519,0.00023190058045238207,False
7750.0,0.004257271855687978,0.040243779006842624,-9.75567371754931,0.001799806942267024,0.0002919213261988942,False
8000.0,0.011827728986574472,0.040243779006842624,-5.317973906592497,0.003402276510894022,0.0013618630376160165,False
8250.0,0.0037714498530923763,0.040243779006842624,-10.281904179523842,0.00026771557805041674,5.4080218376174454e-05,False
8500.0,0.00020252789545318454,0.040243779006842624,-22.9821390565876,0.001600424703347811,0.00038504786835954894,False
8750.0,0.001197013889581642,0.040243779006842624,-15.26599565683444,0.0004772339688178733,0.00036192870606204474,False
9000.0,0.0016457996537603383,0.040243779006842624,-13.88321788844073,0.0012026431183367508,0.0017472979845046823,False
9250.0,0.0006132120551889856,0.040243779006842624,-18.17088071367197,0.0002744207843376375,3.433555237835249e-05,False
9500.0,0.0008219795129551981,0.040243779006842624,-16.898377621615637,0.0009174871395952293,1.6412843291960562e-05,False
9750.0,0.00029683453307589126,0.040243779006842624,-21.321843310565328,0.0003251466755261126,4.525247463477839e-06,False
10000.0,0.0,0.040243779006842624,-186.04698755466353,0.0,0.0,False
